RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,SU_TOUR_INTRST_VALUE,GG_IC_TOUR_INTRST_VALUE,BS_TOUR_INTRST_VALUE,CHN_DJ_TOUR_INTRST_VALUE,CB_TOUR_INTRST_VALUE,GN_US_TOUR_INTRST_VALUE,GB_DG_TOUR_INTRST_VALUE,JN_GJ_TOUR_INTRST_VALUE,JNBK_TOUR_INTRST_VALUE,GW_TOUR_INTRST_VALUE,JJ_TOUR_INTRST_VALUE
447320,20230925,F,60대,서울특별시,700만원 이상,약간 적어졌다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,약간 적어졌다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,약간 적어졌다,약간 커졌다,약간 커졌다
53324287,20230925,F,60대,서울특별시,300만원 미만,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,약간 적어졌다,약간 커졌다,예전과 비슷하다
53349231,20230925,F,60대,서울특별시,700만원 이상,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다
53363284,20230925,F,60대,서울특별시,500이상700만원 미만,약간 커졌다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다
12522,20230925,F,60대,서울특별시,300이상500만원 미만,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,약간 적어졌다,약간 적어졌다,예전과 비슷하다,많이 커졌다
53325371,20230925,F,60대,서울특별시,300이상500만원 미만,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 커졌다,많이 커졌다
53325222,20230925,F,60대,서울특별시,700만원 이상,예전과 비슷하다,약간 적어졌다,약간 적어졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,예전과 비슷하다,약간 커졌다,약간 적어졌다
35447,20230925,F,60대,경상북도,300이상500만원 미만,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,예전과 비슷하다,약간 커졌다,약간 커졌다
53373886,20230925,F,60대,경상북도,300이상500만원 미만,약간 적어졌다,많이 적어졌다,약간 적어졌다,약간 적어졌다,많이 적어졌다,많이 적어졌다,약간 적어졌다,약간 적어졌다,많이 적어졌다,약간 적어졌다,많이 적어졌다
53324603,20230925,F,50대,서울특별시,500이상700만원 미만,많이 적어졌다,많이 적어졌다,예전과 비슷하다,예전과 비슷하다,많이 적어졌다,예전과 비슷하다,많이 적어졌다,예전과 비슷하다,예전과 비슷하다,많이 커졌다,많이 커졌다
53355340,20230925,F,50대,서울특별시,500이상700만원 미만,예전과 비슷하다,약간 적어졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 커졌다
53335466,20230925,F,50대,서울특별시,300이상500만원 미만,많이 적어졌다,예전과 비슷하다,많이 커졌다,약간 커졌다,많이 적어졌다,많이 커졌다,예전과 비슷하다,많이 적어졌다,약간 적어졌다,약간 커졌다,많이 커졌다
53360555,20230925,F,50대,서울특별시,700만원 이상,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,예전과 비슷하다,약간 커졌다
53362180,20230925,F,50대,서울특별시,700만원 이상,많이 적어졌다,많이 적어졌다,예전과 비슷하다,약간 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,약간 적어졌다,많이 적어졌다,많이 적어졌다
11323,20230925,F,50대,서울특별시,500이상700만원 미만,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다
53335857,20230925,F,50대,서울특별시,500이상700만원 미만,약간 적어졌다,약간 적어졌다,약간 커졌다,예전과 비슷하다,약간 적어졌다,약간 커졌다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다
53352908,20230925,F,50대,서울특별시,300만원 미만,많이 커졌다,많이 커졌다,많이 커졌다,많이 커졌다,많이 커졌다,많이 커졌다,많이 커졌다,많이 커졌다,많이 커졌다,많이 커졌다,많이 커졌다
53334479,20230925,F,50대,서울특별시,700만원 이상,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다
53352052,20230925,F,50대,인천광역시,500이상700만원 미만,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,많이 커졌다,많이 커졌다
53327233,20230925,F,50대,인천광역시,300만원 미만,약간 커졌다,약간 적어졌다,약간 커졌다,예전과 비슷하다,약간 커졌다,약간 커졌다,예전과 비슷하다,약간 커졌다,약간 커졌다,약간 적어졌다,약간 커졌다
53354987,20230925,F,50대,충청북도,300이상500만원 미만,많이 적어졌다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,예전과 비슷하다,약간 적어졌다,약간 적어졌다,많이 적어졌다,많이 적어졌다,예전과 비슷하다,예전과 비슷하다
53329343,20230925,F,50대,충청북도,500이상700만원 미만,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다
53353411,20230925,F,40대,경기도,500이상700만원 미만,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,많이 적어졌다
53360744,20230925,F,40대,경기도,700만원 이상,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다
53331279,20230925,F,40대,경기도,700만원 이상,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,많이 적어졌다
53376294,20230925,F,40대,경기도,700만원 이상,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다
53362673,20230925,F,40대,서울특별시,300만원 미만,약간 적어졌다,예전과 비슷하다,약간 적어졌다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다,약간 커졌다,약간 적어졌다
53336680,20230925,F,40대,서울특별시,300이상500만원 미만,많이 커졌다,약간 커졌다,약간 커졌다,약간 적어졌다,약간 커졌다,약간 커졌다,약간 커졌다,많이 적어졌다,많이 적어졌다,많이 커졌다,약간 적어졌다
53374061,20230925,F,40대,서울특별시,300이상500만원 미만,약간 적어졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다,많이 적어졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다,예전과 비슷하다,약간 적어졌다
53362005,20230925,F,40대,서울특별시,700만원 이상,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 커졌다,약간 커졌다,약간 적어졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다
53376428,20230925,F,40대,대구광역시,300만원 미만,약간 적어졌다,약간 적어졌다,예전과 비슷하다,약간 적어졌다,약간 적어졌다,많이 적어졌다,많이 적어졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다
53353808,20230925,F,40대,대구광역시,300이상500만원 미만,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 커졌다,많이 커졌다,많이 커졌다
53366826,20230925,F,40대,대구광역시,500이상700만원 미만,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 커졌다
53117,20230925,F,40대,전라남도,300이상500만원 미만,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,예전과 비슷하다,예전과 비슷하다,많이 적어졌다,많이 적어졌다,많이 커졌다,약간 커졌다,예전과 비슷하다,약간 커졌다
53343194,20230925,F,40대,전라남도,300이상500만원 미만,약간 적어졌다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,예전과 비슷하다,약간 커졌다,예전과 비슷하다
53348460,20230925,F,30대,경기도,700만원 이상,많이 적어졌다,많이 적어졌다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 커졌다,많이 적어졌다,예전과 비슷하다
53362016,20230925,F,30대,경기도,700만원 이상,약간 커졌다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다
53339929,20230925,F,30대,경기도,700만원 이상,약간 커졌다,약간 적어졌다,많이 커졌다,많이 적어졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다,예전과 비슷하다,많이 커졌다
53323963,20230925,F,30대,서울특별시,700만원 이상,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다
53349150,20230925,F,30대,서울특별시,700만원 이상,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,많이 적어졌다,예전과 비슷하다,예전과 비슷하다,많이 커졌다,약간 커졌다,약간 커졌다,많이 적어졌다
53367260,20230925,F,30대,서울특별시,500이상700만원 미만,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다,예전과 비슷하다,예전과 비슷하다
53344991,20230925,F,30대,서울특별시,300만원 미만,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 적어졌다
53329654,20230925,F,20대,경기도,700만원 이상,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,약간 적어졌다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,약간 커졌다,약간 적어졌다
53371251,20230925,F,20대,경기도,모름,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,많이 커졌다,약간 적어졌다
53331959,20230925,F,20대,경기도,300이상500만원 미만,약간 적어졌다,약간 적어졌다,약간 커졌다,많이 적어졌다,많이 적어졌다,약간 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,예전과 비슷하다,예전과 비슷하다
